,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,gesture
0,0.5989809632301331,0.9006390571594238,-1.7169237764846912e-07,0.5758872032165527,0.8849185705184937,-0.021047668531537056,0.557231605052948,0.8660135269165039,-0.04070866480469704,0.562634289264679,0.8600577116012573,-0.05976559966802597,0.5844308733940125,0.8570665717124939,-0.07612422108650208,0.5880282521247864,0.7800701856613159,-0.03143501281738281,0.5955692529678345,0.7428971529006958,-0.058623116463422775,0.5951186418533325,0.7388548254966736,-0.07480526715517044,0.5936051607131958,0.7531970143318176,-0.08285007625818253,0.6194242238998413,0.7856608033180237,-0.031754739582538605,0.6031038165092468,0.8345375657081604,-0.054676491767168045,0.5836319327354431,0.8571826219558716,-0.05659160763025284,0.5798290371894836,0.85434490442276,-0.054137807339429855,0.640106737613678,0.8144506216049194,-0.03556858375668526,0.6151756644248962,0.8756355047225952,-0.051360469311475754,0.5969778895378113,0.8802608847618103,-0.040988702327013016,0.5943828821182251,0.8672580718994141,-0.03176365792751312,0.6539860963821411,0.849453330039978,-0.04296336695551872,0.6310012340545654,0.8969293236732483,-0.056833792477846146,0.6140705943107605,0.8993315696716309,-0.05274350196123123,0.6091158986091614,0.8875132203102112,-0.04544711485505104,RightIndexHook
0,0.6568886041641235,0.8821732997894287,-1.9129559802877338e-07,0.627388060092926,0.8663564324378967,-0.02295251376926899,0.6061359643936157,0.8410320281982422,-0.04482848569750786,0.6196226477622986,0.8285974860191345,-0.06605319678783417,0.6505484580993652,0.8256316184997559,-0.0841347873210907,0.6434506177902222,0.7539010643959045,-0.031361427158117294,0.6548731327056885,0.7024170756340027,-0.05919722467660904,0.6577341556549072,0.7092414498329163,-0.07386703044176102,0.6569042801856995,0.7331452369689941,-0.08000972121953964,0.6691824197769165,0.7619152069091797,-0.031049182638525963,0.671331524848938,0.7794476747512817,-0.05762576311826706,0.6595647931098938,0.8231906294822693,-0.061093516647815704,0.6527068614959717,0.8368291258811951,-0.05869338661432266,0.6870628595352173,0.7834829092025757,-0.03441406413912773,0.6809617280960083,0.8153574466705322,-0.057389818131923676,0.6666406393051147,0.8474765419960022,-0.051012322306632996,0.6597504019737244,0.8519912958145142,-0.04219730943441391,0.7027004957199097,0.8099879622459412,-0.04028429836034775,0.6926906704902649,0.8379828929901123,-0.053322963416576385,0.6788044571876526,0.8605579137802124,-0.047224484384059906,0.6692323088645935,0.8627694249153137,-0.038943786174058914,RightIndexHook
0,0.6679267287254333,0.8213672637939453,-2.3671094595556497e-07,0.6475445628166199,0.8033458590507507,-0.015485217794775963,0.6364505290985107,0.7749814987182617,-0.029066534712910652,0.6551884412765503,0.7634537220001221,-0.04219922423362732,0.6796702146530151,0.7609974145889282,-0.05274994671344757,0.6579655408859253,0.7070764303207397,-0.02369791641831398,0.6673834323883057,0.6664926409721375,-0.04372412711381912,0.661299467086792,0.6864563822746277,-0.05611605942249298,0.6579232811927795,0.7112495303153992,-0.06258510053157806,0.6798721551895142,0.7128797769546509,-0.023842081427574158,0.6893991231918335,0.7281544208526611,-0.04283715784549713,0.681580126285553,0.7573974132537842,-0.04896775633096695,0.6772134304046631,0.7674193978309631,-0.05095959082245827,0.6967751383781433,0.7294188737869263,-0.025958070531487465,0.7000971436500549,0.7565463185310364,-0.0382927805185318,0.6893751621246338,0.7767557501792908,-0.035321470350027084,0.6820845603942871,0.7792327404022217,-0.032152242958545685,0.7111655473709106,0.7493853569030762,-0.0303127970546484,0.7131928205490112,0.7727828025817871,-0.03702389821410179,0.702764093875885,0.7879195809364319,-0.034075018018484116,0.6945064067840576,0.7893245816230774,-0.030255116522312164,RightIndexClosed
0,0.6488624215126038,0.8314982652664185,6.605053393116123e-09,0.6276500821113586,0.8182647228240967,-0.01811077818274498,0.6120308041572571,0.7944594025611877,-0.03294730186462402,0.6266552209854126,0.7787151336669922,-0.047272663563489914,0.6490252017974854,0.7700629234313965,-0.05938376113772392,0.6332173943519592,0.7255293726921082,-0.021696144714951515,0.6392993330955505,0.6803276538848877,-0.04394730180501938,0.6373855471611023,0.6979777812957764,-0.056962091475725174,0.6368637084960938,0.7232456803321838,-0.062103137373924255,0.6545689702033997,0.7267534732818604,-0.022172152996063232,0.6595340967178345,0.676731288433075,-0.04147280007600784,0.6603385210037231,0.6867254972457886,-0.04894562065601349,0.6609073877334595,0.7032718658447266,-0.049621302634477615,0.6718643307685852,0.7374134659767151,-0.025352636352181435,0.6759288311004639,0.7332307696342468,-0.04325997084379196,0.6703615784645081,0.764321506023407,-0.04309484362602234,0.6642397046089172,0.7855868339538574,-0.03791627660393715,0.68764728307724,0.7556169629096985,-0.03023950196802616,0.6901559233665466,0.7537334561347961,-0.039193473756313324,0.6826392412185669,0.7748407125473022,-0.03526279330253601,0.6746382117271423,0.790287971496582,-0.02942803129553795,RightIndexClosed
0,0.5884947776794434,0.8518596291542053,-2.6322294388592127e-07,0.5679764747619629,0.8380693793296814,-0.014559490606188774,0.5527483224868774,0.8184541463851929,-0.029028937220573425,0.5589056015014648,0.8068087697029114,-0.04387152940034866,0.5782878398895264,0.8016707301139832,-0.05586910620331764,0.5720937848091125,0.7444978356361389,-0.021763237193226814,0.5765414834022522,0.7024357914924622,-0.044438816606998444,0.5714842081069946,0.7176766395568848,-0.056556764990091324,0.5671364068984985,0.743898868560791,-0.061410099267959595,0.5965735912322998,0.747154951095581,-0.023072363808751106,0.5877575278282166,0.7785782217979431,-0.042799826711416245,0.5788406729698181,0.8065704107284546,-0.0455014742910862,0.5770368576049805,0.8074615001678467,-0.04410187527537346,0.6149729490280151,0.7649256587028503,-0.02709032967686653,0.5991083383560181,0.809001624584198,-0.039015140384435654,0.5893372893333435,0.8240073323249817,-0.03227929398417473,0.5871449112892151,0.8153524398803711,-0.026357349008321762,0.6303449869155884,0.7867116332054138,-0.03372509777545929,0.6125718951225281,0.826653242111206,-0.04034080728888512,0.6022285223007202,0.8370760679244995,-0.03584630787372589,0.5994135141372681,0.82828289270401,-0.0301388967782259,RightIndexClosed
